transaction_id,customer_id,subscription_id,transaction_date,transaction_type,amount,plan_id,description,year,month,year_month,quarter,annualized_amount
txn_cust_000002_22,cust_000002,sub_cust_000002_1,2024-03-02,recurring,99.0,pro,Recurring payment for Professional Plan,2024,3,2024-03,1,1188.0
txn_cust_000002_23,cust_000002,sub_cust_000002_1,2024-04-02,recurring,99.0,pro,Recurring payment for Professional Plan,2024,4,2024-04,2,1188.0
txn_cust_000002_24,cust_000002,sub_cust_000002_1,2024-05-02,recurring,99.0,pro,Recurring payment for Professional Plan,2024,5,2024-05,2,1188.0
txn_cust_000002_25,cust_000002,sub_cust_000002_1,2024-06-02,recurring,99.0,pro,Recurring payment for Professional Plan,2024,6,2024-06,2,1188.0
txn_cust_000002_26,cust_000002,sub_cust_000002_1,2024-07-02,recurring,99.0,pro,Recurring payment for Professional Plan,2024,7,2024-07,3,1188.0
txn_cust_000002_27,cust_000002,sub_cust_000002_1,2024-08-02,recurring,99.0,pro,Recurring payment for Professional Plan,2024,8,2024-08,3,1188.0
txn_cust_000002_28,cust_000002,sub_cust_000002_1,2024-09-02,recurring,99.0,pro,Recurring payment for Professional Plan,2024,9,2024-09,3,1188.0
txn_cust_000002_29,cust_000002,sub_cust_000002_1,2024-10-02,recurring,99.0,pro,Recurring payment for Professional Plan,2024,10,2024-10,4,1188.0
txn_cust_000002_30,cust_000002,sub_cust_000002_1,2024-11-02,recurring,99.0,pro,Recurring payment for Professional Plan,2024,11,2024-11,4,1188.0
txn_cust_000002_31,cust_000002,sub_cust_000002_1,2024-12-02,recurring,99.0,pro,Recurring payment for Professional Plan,2024,12,2024-12,4,1188.0
txn_cust_000002_32,cust_000002,sub_cust_000002_1,2025-01-02,recurring,99.0,pro,Recurring payment for Professional Plan,2025,1,2025-01,1,1188.0
txn_cust_000002_33,cust_000002,sub_cust_000002_1,2025-02-02,recurring,99.0,pro,Recurring payment for Professional Plan,2025,2,2025-02,1,1188.0
txn_cust_000002_34,cust_000002,sub_cust_000002_1,2025-03-02,recurring,99.0,pro,Recurring payment for Professional Plan,2025,3,2025-03,1,1188.0
txn_cust_000002_35,cust_000002,sub_cust_000002_1,2025-04-02,recurring,99.0,pro,Recurring payment for Professional Plan,2025,4,2025-04,2,1188.0
txn_cust_000002_36,cust_000002,sub_cust_000002_1,2025-05-02,recurring,99.0,pro,Recurring payment for Professional Plan,2025,5,2025-05,2,1188.0
txn_cust_000002_37,cust_000002,sub_cust_000002_1,2025-06-02,recurring,99.0,pro,Recurring payment for Professional Plan,2025,6,2025-06,2,1188.0
txn_cust_000002_38,cust_000002,sub_cust_000002_1,2025-07-02,recurring,99.0,pro,Recurring payment for Professional Plan,2025,7,2025-07,3,1188.0
txn_cust_000002_39,cust_000002,sub_cust_000002_1,2025-08-02,recurring,99.0,pro,Recurring payment for Professional Plan,2025,8,2025-08,3,1188.0
txn_cust_000003_1,cust_000003,sub_cust_000003_1,2023-05-14,new,82.5,pro_annual,New Professional Annual subscription,2023,5,2023-05,2,990.0
txn_cust_000003_2,cust_000003,sub_cust_000003_1,2023-06-14,recurring,82.5,pro_annual,Recurring payment for Professional Annual,2023,6,2023-06,2,990.0
txn_cust_000003_3,cust_000003,sub_cust_000003_1,2023-07-14,recurring,82.5,pro_annual,Recurring payment for Professional Annual,2023,7,2023-07,3,990.0
txn_cust_000003_4,cust_000003,sub_cust_000003_1,2023-08-14,recurring,82.5,pro_annual,Recurring payment for Professional Annual,2023,8,2023-08,3,990.0
txn_cust_000003_5,cust_000003,sub_cust_000003_1,2023-09-14,recurring,82.5,pro_annual,Recurring payment for Professional Annual,2023,9,2023-09,3,990.0
txn_cust_000003_6,cust_000003,sub_cust_000003_1,2023-10-14,recurring,82.5,pro_annual,Recurring payment for Professional Annual,2023,10,2023-10,4,990.0
txn_cust_000003_7,cust_000003,sub_cust_000003_1,2023-11-14,recurring,82.5,pro_annual,Recurring payment for Professional Annual,2023,11,2023-11,4,990.0
txn_cust_000003_8,cust_000003,sub_cust_000003_1,2023-12-14,recurring,82.5,pro_annual,Recurring payment for Professional Annual,2023,12,2023-12,4,990.0
txn_cust_000003_9,cust_000003,sub_cust_000003_1,2024-02-14,recurring,82.5,pro_annual,Recurring payment for Professional Annual,2024,2,2024-02,1,990.0
txn_cust_000003_10,cust_000003,sub_cust_000003_1,2024-03-14,recurring,82.5,pro_annual,Recurring payment for Professional Annual,2024,3,2024-03,1,990.0
txn_cust_000003_11,cust_000003,sub_cust_000003_1,2024-04-14,recurring,82.5,pro_annual,Recurring payment for Professional Annual,2024,4,2024-04,2,990.0
txn_cust_000003_12,cust_000003,sub_cust_000003_1,2024-05-14,recurring,82.5,pro_annual,Recurring payment for Professional Annual,2024,5,2024-05,2,990.0
txn_cust_000003_13,cust_000003,sub_cust_000003_1,2024-06-14,recurring,82.5,pro_annual,Recurring payment for Professional Annual,2024,6,2024-06,2,990.0
txn_cust_000003_14,cust_000003,sub_cust_000003_1,2024-07-14,recurring,82.5,pro_annual,Recurring payment for Professional Annual,2024,7,2024-07,3,990.0
txn_cust_000003_15,cust_000003,sub_cust_000003_1,2024-08-14,recurring,82.5,pro_annual,Recurring payment for Professional Annual,2024,8,2024-08,3,990.0
txn_cust_000003_16,cust_000003,sub_cust_000003_1,2024-09-14,recurring,82.5,pro_annual,Recurring payment for Professional Annual,2024,9,2024-09,3,990.0
txn_cust_000003_17,cust_000003,sub_cust_000003_1,2024-10-14,recurring,82.5,pro_annual,Recurring payment for Professional Annual,2024,10,2024-10,4,990.0
txn_cust_000003_18,cust_000003,sub_cust_000003_1,2024-12-14,recurring,82.5,pro_annual,Recurring payment for Professional Annual,2024,12,2024-12,4,990.0
txn_cust_000003_19,cust_000003,sub_cust_000003_1,2025-01-14,recurring,82.5,pro_annual,Recurring payment for Professional Annual,2025,1,2025-01,1,990.0
txn_cust_000003_20,cust_000003,sub_cust_000003_1,2025-02-14,recurring,82.5,pro_annual,Recurring payment for Professional Annual,2025,2,2025-02,1,990.0
txn_cust_000003_21,cust_000003,sub_cust_000003_1,2025-03-14,recurring,82.5,pro_annual,Recurring payment for Professional Annual,2025,3,2025-03,1,990.0
txn_cust_000003_22,cust_000003,sub_cust_000003_1,2025-04-14,recurring,82.5,pro_annual,Recurring payment for Professional Annual,2025,4,2025-04,2,990.0
txn_cust_000003_23,cust_000003,sub_cust_000003_1,2025-05-14,recurring,82.5,pro_annual,Recurring payment for Professional Annual,2025,5,2025-05,2,990.0
txn_cust_000003_24,cust_000003,sub_cust_000003_1,2025-06-14,recurring,82.5,pro_annual,Recurring payment for Professional Annual,2025,6,2025-06,2,990.0
txn_cust_000003_25,cust_000003,sub_cust_000003_1,2025-07-14,recurring,82.5,pro_annual,Recurring payment for Professional Annual,2025,7,2025-07,3,990.0
txn_cust_000003_26,cust_000003,sub_cust_000003_1,2025-08-14,recurring,82.5,pro_annual,Recurring payment for Professional Annual,2025,8,2025-08,3,990.0
txn_cust_000004_1,cust_000004,sub_cust_000004_1,2023-10-24,new,99.0,pro,New Professional Plan subscription,2023,10,2023-10,4,1188.0
txn_cust_000004_2,cust_000004,sub_cust_000004_1,2023-11-24,recurring,99.0,pro,Recurring payment for Professional Plan,2023,11,2023-11,4,1188.0
txn_cust_000004_3,cust_000004,sub_cust_000004_1,2023-12-24,recurring,99.0,pro,Recurring payment for Professional Plan,2023,12,2023-12,4,1188.0
txn_cust_000004_4,cust_000004,sub_cust_000004_1,2024-01-24,recurring,99.0,pro,Recurring payment for Professional Plan,2024,1,2024-01,1,1188.0
txn_cust_000004_5,cust_000004,sub_cust_000004_1,2024-02-24,contraction,29.0,basic,Contraction payment for Basic Plan,2024,2,2024-02,1,348.0
txn_cust_000004_6,cust_000004,sub_cust_000004_1,2024-03-24,recurring,29.0,basic,Recurring payment for Basic Plan,2024,3,2024-03,1,348.0
txn_cust_000004_7,cust_000004,sub_cust_000004_1,2024-04-24,expansion,99.0,pro,Expansion payment for Professional Plan,2024,4,2024-04,2,1188.0
txn_cust_000004_8,cust_000004,sub_cust_000004_1,2024-05-24,recurring,99.0,pro,Recurring payment for Professional Plan,2024,5,2024-05,2,1188.0
txn_cust_000004_9,cust_000004,sub_cust_000004_1,2024-06-24,recurring,99.0,pro,Recurring payment for Professional Plan,2024,6,2024-06,2,1188.0
txn_cust_000004_10,cust_000004,sub_cust_000004_1,2024-08-24,recurring,99.0,pro,Recurring payment for Professional Plan,2024,8,2024-08,3,1188.0
txn_cust_000004_11,cust_000004,sub_cust_000004_1,2024-09-24,recurring,99.0,pro,Recurring payment for Professional Plan,2024,9,2024-09,3,1188.0
txn_cust_000004_12,cust_000004,sub_cust_000004_1,2024-10-24,contraction,29.0,basic,Contraction payment for Basic Plan,2024,10,2024-10,4,348.0
txn_cust_000004_13,cust_000004,sub_cust_000004_1,2024-11-24,recurring,29.0,basic,Recurring payment for Basic Plan,2024,11,2024-11,4,348.0
txn_cust_000004_14,cust_000004,sub_cust_000004_1,2024-12-24,recurring,29.0,basic,Recurring payment for Basic Plan,2024,12,2024-12,4,348.0
txn_cust_000004_15,cust_000004,sub_cust_000004_1,2025-01-24,recurring,29.0,basic,Recurring payment for Basic Plan,2025,1,2025-01,1,348.0
txn_cust_000004_16,cust_000004,sub_cust_000004_1,2025-02-24,recurring,29.0,basic,Recurring payment for Basic Plan,2025,2,2025-02,1,348.0
txn_cust_000004_17,cust_000004,sub_cust_000004_1,2025-04-24,recurring,29.0,basic,Recurring payment for Basic Plan,2025,4,2025-04,2,348.0
txn_cust_000004_18,cust_000004,sub_cust_000004_1,2025-05-24,recurring,29.0,basic,Recurring payment for Basic Plan,2025,5,2025-05,2,348.0
txn_cust_000004_19,cust_000004,sub_cust_000004_1,2025-06-24,recurring,29.0,basic,Recurring payment for Basic Plan,2025,6,2025-06,2,348.0
txn_cust_000004_20,cust_000004,sub_cust_000004_1,2025-07-24,recurring,29.0,basic,Recurring payment for Basic Plan,2025,7,2025-07,3,348.0
txn_cust_000005_1,cust_000005,sub_cust_000005_1,2022-03-19,new,82.5,pro_annual,New Professional Annual subscription,2022,3,2022-03,1,990.0
txn_cust_000005_2,cust_000005,sub_cust_000005_1,2022-04-19,recurring,82.5,pro_annual,Recurring payment for Professional Annual,2022,4,2022-04,2,990.0
txn_cust_000005_3,cust_000005,sub_cust_000005_1,2022-05-19,recurring,82.5,pro_annual,Recurring payment for Professional Annual,2022,5,2022-05,2,990.0
txn_cust_000005_4,cust_000005,sub_cust_000005_1,2022-06-19,recurring,82.5,pro_annual,Recurring payment for Professional Annual,2022,6,2022-06,2,990.0
txn_cust_000005_5,cust_000005,sub_cust_000005_1,2022-07-19,recurring,82.5,pro_annual,Recurring payment for Professional Annual,2022,7,2022-07,3,990.0
txn_cust_000005_6,cust_000005,sub_cust_000005_1,2022-08-19,recurring,82.5,pro_annual,Recurring payment for Professional Annual,2022,8,2022-08,3,990.0
txn_cust_000005_7,cust_000005,sub_cust_000005_1,2022-09-19,recurring,82.5,pro_annual,Recurring payment for Professional Annual,2022,9,2022-09,3,990.0
txn_cust_000005_8,cust_000005,sub_cust_000005_1,2022-10-19,recurring,82.5,pro_annual,Recurring payment for Professional Annual,2022,10,2022-10,4,990.0
txn_cust_000005_9,cust_000005,sub_cust_000005_1,2022-11-19,recurring,82.5,pro_annual,Recurring payment for Professional Annual,2022,11,2022-11,4,990.0
txn_cust_000005_10,cust_000005,sub_cust_000005_1,2022-12-19,recurring,82.5,pro_annual,Recurring payment for Professional Annual,2022,12,2022-12,4,990.0
txn_cust_000005_11,cust_000005,sub_cust_000005_1,2023-01-19,recurring,82.5,pro_annual,Recurring payment for Professional Annual,2023,1,2023-01,1,990.0
txn_cust_000005_12,cust_000005,sub_cust_000005_1,2023-02-19,recurring,82.5,pro_annual,Recurring payment for Professional Annual,2023,2,2023-02,1,990.0
txn_cust_000005_13,cust_000005,sub_cust_000005_1,2023-03-19,recurring,82.5,pro_annual,Recurring payment for Professional Annual,2023,3,2023-03,1,990.0
txn_cust_000005_14,cust_000005,sub_cust_000005_1,2023-04-19,recurring,82.5,pro_annual,Recurring payment for Professional Annual,2023,4,2023-04,2,990.0
txn_cust_000005_15,cust_000005,sub_cust_000005_1,2023-06-19,recurring,82.5,pro_annual,Recurring payment for Professional Annual,2023,6,2023-06,2,990.0
txn_cust_000005_16,cust_000005,sub_cust_000005_1,2023-07-19,recurring,82.5,pro_annual,Recurring payment for Professional Annual,2023,7,2023-07,3,990.0
txn_cust_000005_17,cust_000005,sub_cust_000005_1,2023-08-19,recurring,82.5,pro_annual,Recurring payment for Professional Annual,2023,8,2023-08,3,990.0
txn_cust_000005_18,cust_000005,sub_cust_000005_1,2023-09-19,recurring,82.5,pro_annual,Recurring payment for Professional Annual,2023,9,2023-09,3,990.0
txn_cust_000005_19,cust_000005,sub_cust_000005_1,2023-10-19,recurring,82.5,pro_annual,Recurring payment for Professional Annual,2023,10,2023-10,4,990.0
txn_cust_000006_1,cust_000006,sub_cust_000006_1,2023-12-21,new,99.0,pro,New Professional Plan subscription,2023,12,2023-12,4,1188.0
txn_cust_000006_2,cust_000006,sub_cust_000006_1,2024-01-21,recurring,99.0,pro,Recurring payment for Professional Plan,2024,1,2024-01,1,1188.0
txn_cust_000006_3,cust_000006,sub_cust_000006_1,2024-02-21,recurring,99.0,pro,Recurring payment for Professional Plan,2024,2,2024-02,1,1188.0
txn_cust_000006_4,cust_000006,sub_cust_000006_1,2024-03-20,recurring,99.0,pro,Recurring payment for Professional Plan,2024,3,2024-03,1,1188.0
txn_cust_000006_5,cust_000006,sub_cust_000006_1,2024-04-20,recurring,99.0,pro,Recurring payment for Professional Plan,2024,4,2024-04,2,1188.0
txn_cust_000006_6,cust_000006,sub_cust_000006_1,2024-05-20,recurring,99.0,pro,Recurring payment for Professional Plan,2024,5,2024-05,2,1188.0
txn_cust_000006_7,cust_000006,sub_cust_000006_1,2024-06-20,recurring,99.0,pro,Recurring payment for Professional Plan,2024,6,2024-06,2,1188.0
txn_cust_000006_8,cust_000006,sub_cust_000006_1,2024-07-20,recurring,99.0,pro,Recurring payment for Professional Plan,2024,7,2024-07,3,1188.0
txn_cust_000006_9,cust_000006,sub_cust_000006_1,2024-08-20,recurring,99.0,pro,Recurring payment for Professional Plan,2024,8,2024-08,3,1188.0
txn_cust_000006_10,cust_000006,sub_cust_000006_1,2024-09-20,recurring,99.0,pro,Recurring payment for Professional Plan,2024,9,2024-09,3,1188.0
txn_cust_000006_11,cust_000006,sub_cust_000006_1,2024-10-20,recurring,99.0,pro,Recurring payment for Professional Plan,2024,10,2024-10,4,1188.0
txn_cust_000006_12,cust_000006,sub_cust_000006_1,2024-11-21,recurring,99.0,pro,Recurring payment for Professional Plan,2024,11,2024-11,4,1188.0
txn_cust_000006_13,cust_000006,sub_cust_000006_1,2024-12-21,recurring,99.0,pro,Recurring payment for Professional Plan,2024,12,2024-12,4,1188.0
txn_cust_000006_14,cust_000006,sub_cust_000006_1,2025-01-21,recurring,99.0,pro,Recurring payment for Professional Plan,2025,1,2025-01,1,1188.0
txn_cust_000006_15,cust_000006,sub_cust_000006_1,2025-02-21,recurring,99.0,pro,Recurring payment for Professional Plan,2025,2,2025-02,1,1188.0
txn_cust_000006_16,cust_000006,sub_cust_000006_1,2025-03-20,recurring,99.0,pro,Recurring payment for Professional Plan,2025,3,2025-03,1,1188.0
txn_cust_000006_17,cust_000006,sub_cust_000006_1,2025-04-20,recurring,99.0,pro,Recurring payment for Professional Plan,2025,4,2025-04,2,1188.0
txn_cust_000006_18,cust_000006,sub_cust_000006_1,2025-05-20,recurring,99.0,pro,Recurring payment for Professional Plan,2025,5,2025-05,2,1188.0
txn_cust_000006_19,cust_000006,sub_cust_000006_1,2025-06-20,recurring,99.0,pro,Recurring payment for Professional Plan,2025,6,2025-06,2,1188.0
txn_cust_000006_20,cust_000006,sub_cust_000006_1,2025-07-20,recurring,99.0,pro,Recurring payment for Professional Plan,2025,7,2025-07,3,1188.0
txn_cust_000007_1,cust_000007,sub_cust_000007_1,2022-12-22,new,299.0,enterprise,New Enterprise Plan subscription,2022,12,2022-12,4,3588.0
txn_cust_000007_2,cust_000007,sub_cust_000007_1,2023-01-22,recurring,299.0,enterprise,Recurring payment for Enterprise Plan,2023,1,2023-01,1,3588.0
txn_cust_000007_3,cust_000007,sub_cust_000007_1,2023-02-22,recurring,299.0,enterprise,Recurring payment for Enterprise Plan,2023,2,2023-02,1,3588.0
txn_cust_000007_4,cust_000007,sub_cust_000007_1,2023-03-21,recurring,299.0,enterprise,Recurring payment for Enterprise Plan,2023,3,2023-03,1,3588.0
txn_cust_000007_5,cust_000007,sub_cust_000007_1,2023-04-21,recurring,299.0,enterprise,Recurring payment for Enterprise Plan,2023,4,2023-04,2,3588.0
txn_cust_000007_6,cust_000007,sub_cust_000007_1,2023-06-21,recurring,299.0,enterprise,Recurring payment for Enterprise Plan,2023,6,2023-06,2,3588.0
txn_cust_000007_7,cust_000007,sub_cust_000007_1,2023-07-21,recurring,299.0,enterprise,Recurring payment for Enterprise Plan,2023,7,2023-07,3,3588.0
txn_cust_000007_8,cust_000007,sub_cust_000007_1,2023-08-21,recurring,299.0,enterprise,Recurring payment for Enterprise Plan,2023,8,2023-08,3,3588.0
txn_cust_000007_9,cust_000007,sub_cust_000007_1,2023-10-21,recurring,299.0,enterprise,Recurring payment for Enterprise Plan,2023,10,2023-10,4,3588.0
txn_cust_000007_10,cust_000007,sub_cust_000007_1,2023-11-22,recurring,299.0,enterprise,Recurring payment for Enterprise Plan,2023,11,2023-11,4,3588.0
txn_cust_000007_11,cust_000007,sub_cust_000007_1,2023-12-22,recurring,299.0,enterprise,Recurring payment for Enterprise Plan,2023,12,2023-12,4,3588.0
txn_cust_000007_12,cust_000007,sub_cust_000007_1,2024-01-22,recurring,299.0,enterprise,Recurring payment for Enterprise Plan,2024,1,2024-01,1,3588.0
txn_cust_000007_13,cust_000007,sub_cust_000007_1,2024-02-22,recurring,299.0,enterprise,Recurring payment for Enterprise Plan,2024,2,2024-02,1,3588.0
txn_cust_000007_14,cust_000007,sub_cust_000007_1,2024-03-21,recurring,299.0,enterprise,Recurring payment for Enterprise Plan,2024,3,2024-03,1,3588.0
txn_cust_000007_15,cust_000007,sub_cust_000007_1,2024-04-21,recurring,299.0,enterprise,Recurring payment for Enterprise Plan,2024,4,2024-04,2,3588.0
txn_cust_000007_16,cust_000007,sub_cust_000007_1,2024-05-21,recurring,299.0,enterprise,Recurring payment for Enterprise Plan,2024,5,2024-05,2,3588.0
txn_cust_000007_17,cust_000007,sub_cust_000007_1,2024-06-21,recurring,299.0,enterprise,Recurring payment for Enterprise Plan,2024,6,2024-06,2,3588.0
txn_cust_000007_18,cust_000007,sub_cust_000007_1,2024-07-21,recurring,299.0,enterprise,Recurring payment for Enterprise Plan,2024,7,2024-07,3,3588.0
txn_cust_000007_19,cust_000007,sub_cust_000007_1,2024-08-21,recurring,299.0,enterprise,Recurring payment for Enterprise Plan,2024,8,2024-08,3,3588.0
txn_cust_000007_20,cust_000007,sub_cust_000007_1,2024-09-21,recurring,299.0,enterprise,Recurring payment for Enterprise Plan,2024,9,2024-09,3,3588.0
txn_cust_000007_21,cust_000007,sub_cust_000007_1,2024-10-21,recurring,299.0,enterprise,Recurring payment for Enterprise Plan,2024,10,2024-10,4,3588.0
txn_cust_000007_22,cust_000007,sub_cust_000007_1,2024-11-22,recurring,299.0,enterprise,Recurring payment for Enterprise Plan,2024,11,2024-11,4,3588.0
txn_cust_000007_23,cust_000007,sub_cust_000007_1,2024-12-22,recurring,299.0,enterprise,Recurring payment for Enterprise Plan,2024,12,2024-12,4,3588.0
txn_cust_000007_24,cust_000007,sub_cust_000007_1,2025-01-22,recurring,299.0,enterprise,Recurring payment for Enterprise Plan,2025,1,2025-01,1,3588.0
txn_cust_000007_25,cust_000007,sub_cust_000007_1,2025-02-22,recurring,299.0,enterprise,Recurring payment for Enterprise Plan,2025,2,2025-02,1,3588.0
txn_cust_000007_26,cust_000007,sub_cust_000007_1,2025-03-21,recurring,299.0,enterprise,Recurring payment for Enterprise Plan,2025,3,2025-03,1,3588.0
txn_cust_000007_27,cust_000007,sub_cust_000007_1,2025-04-21,recurring,299.0,enterprise,Recurring payment for Enterprise Plan,2025,4,2025-04,2,3588.0
txn_cust_000007_28,cust_000007,sub_cust_000007_1,2025-05-21,recurring,299.0,enterprise,Recurring payment for Enterprise Plan,2025,5,2025-05,2,3588.0
txn_cust_000007_29,cust_000007,sub_cust_000007_1,2025-06-21,recurring,299.0,enterprise,Recurring payment for Enterprise Plan,2025,6,2025-06,2,3588.0
txn_cust_000008_1,cust_000008,sub_cust_000008_1,2023-12-21,new,99.0,pro,New Professional Plan subscription,2023,12,2023-12,4,1188.0
txn_cust_000008_2,cust_000008,sub_cust_000008_1,2024-01-21,recurring,99.0,pro,Recurring payment for Professional Plan,2024,1,2024-01,1,1188.0
txn_cust_000008_3,cust_000008,sub_cust_000008_1,2024-02-21,recurring,99.0,pro,Recurring payment for Professional Plan,2024,2,2024-02,1,1188.0
txn_cust_000008_4,cust_000008,sub_cust_000008_1,2024-03-20,contraction,29.0,basic,Contraction payment for Basic Plan,2024,3,2024-03,1,348.0
txn_cust_000008_5,cust_000008,sub_cust_000008_1,2024-04-20,recurring,29.0,basic,Recurring payment for Basic Plan,2024,4,2024-04,2,348.0
txn_cust_000008_6,cust_000008,sub_cust_000008_1,2024-06-20,recurring,29.0,basic,Recurring payment for Basic Plan,2024,6,2024-06,2,348.0
txn_cust_000008_7,cust_000008,sub_cust_000008_1,2024-07-20,recurring,29.0,basic,Recurring payment for Basic Plan,2024,7,2024-07,3,348.0
txn_cust_000008_8,cust_000008,sub_cust_000008_1,2024-08-20,expansion,99.0,pro,Expansion payment for Professional Plan,2024,8,2024-08,3,1188.0
txn_cust_000008_9,cust_000008,sub_cust_000008_1,2024-09-20,recurring,99.0,pro,Recurring payment for Professional Plan,2024,9,2024-09,3,1188.0
txn_cust_000008_10,cust_000008,sub_cust_000008_1,2024-10-20,recurring,99.0,pro,Recurring payment for Professional Plan,2024,10,2024-10,4,1188.0
txn_cust_000008_11,cust_000008,sub_cust_000008_1,2024-11-21,recurring,99.0,pro,Recurring payment for Professional Plan,2024,11,2024-11,4,1188.0
txn_cust_000008_12,cust_000008,sub_cust_000008_1,2024-12-21,recurring,99.0,pro,Recurring payment for Professional Plan,2024,12,2024-12,4,1188.0
txn_cust_000008_13,cust_000008,sub_cust_000008_1,2025-01-21,recurring,99.0,pro,Recurring payment for Professional Plan,2025,1,2025-01,1,1188.0
txn_cust_000008_14,cust_000008,sub_cust_000008_1,2025-02-21,recurring,99.0,pro,Recurring payment for Professional Plan,2025,2,2025-02,1,1188.0
txn_cust_000008_15,cust_000008,sub_cust_000008_1,2025-03-20,recurring,99.0,pro,Recurring payment for Professional Plan,2025,3,2025-03,1,1188.0
txn_cust_000008_16,cust_000008,sub_cust_000008_1,2025-04-20,recurring,99.0,pro,Recurring payment for Professional Plan,2025,4,2025-04,2,1188.0
txn_cust_000008_17,cust_000008,sub_cust_000008_1,2025-05-20,recurring,99.0,pro,Recurring payment for Professional Plan,2025,5,2025-05,2,1188.0
txn_cust_000008_18,cust_000008,sub_cust_000008_1,2025-06-20,recurring,99.0,pro,Recurring payment for Professional Plan,2025,6,2025-06,2,1188.0
txn_cust_000008_19,cust_000008,sub_cust_000008_1,2025-07-20,recurring,99.0,pro,Recurring payment for Professional Plan,2025,7,2025-07,3,1188.0
txn_cust_000009_1,cust_000009,sub_cust_000009_1,2024-11-03,new,299.0,enterprise,New Enterprise Plan subscription,2024,11,2024-11,4,3588.0
txn_cust_000010_1,cust_000010,sub_cust_000010_1,2022-11-01,new,24.166666666666668,basic_annual,New Basic Annual subscription,2022,11,2022-11,4,290.0
txn_cust_000010_2,cust_000010,sub_cust_000010_1,2022-12-02,recurring,24.166666666666668,basic_annual,Recurring payment for Basic Annual,2022,12,2022-12,4,290.0
txn_cust_000010_3,cust_000010,sub_cust_000010_1,2023-01-02,recurring,24.166666666666668,basic_annual,Recurring payment for Basic Annual,2023,1,2023-01,1,290.0
txn_cust_000010_4,cust_000010,sub_cust_000010_1,2023-02-02,recurring,24.166666666666668,basic_annual,Recurring payment for Basic Annual,2023,2,2023-02,1,290.0
