subscription_id,customer_id,plan_id,plan_name,mrr_amount,arr_amount,start_date,end_date,status,billing_frequency
"sub_cust_000077_1","cust_000077","pro_annual","Professional Annual","82.5","990","2024-05-27","","active","annual"
"sub_cust_000078_1","cust_000078","pro","Professional Plan","99","1188","2022-04-28","","active","monthly"
"sub_cust_000079_1","cust_000079","basic_annual","Basic Annual","24.166666666666668","290","2023-01-13","2024-04-15","churned","annual"
"sub_cust_000080_1","cust_000080","pro","Professional Plan","99","1188","2023-11-23","","active","monthly"
"sub_cust_000081_1","cust_000081","basic","Basic Plan","29","348","2023-05-28","","active","monthly"
"sub_cust_000082_1","cust_000082","enterprise","Enterprise Plan","299","3588","2023-07-22","","active","monthly"
"sub_cust_000083_1","cust_000083","pro","Professional Plan","99","1188","2024-08-04","","active","monthly"
"sub_cust_000084_1","cust_000084","basic_annual","Basic Annual","24.166666666666668","290","2024-10-04","","active","annual"
"sub_cust_000085_1","cust_000085","pro_annual","Professional Annual","82.5","990","2025-07-23","","active","annual"
"sub_cust_000086_1","cust_000086","enterprise","Enterprise Plan","299","3588","2023-03-26","2025-07-11","churned","monthly"
"sub_cust_000087_1","cust_000087","pro_annual","Professional Annual","82.5","990","2023-11-14","","active","annual"
"sub_cust_000088_1","cust_000088","enterprise","Enterprise Plan","299","3588","2023-06-20","2023-12-02","churned","monthly"
"sub_cust_000089_1","cust_000089","basic_annual","Basic Annual","24.166666666666668","290","2022-09-23","","active","annual"
"sub_cust_000090_1","cust_000090","pro_annual","Professional Annual","82.5","990","2022-09-08","","active","annual"
"sub_cust_000091_1","cust_000091","basic_annual","Basic Annual","24.166666666666668","290","2023-09-26","","active","annual"
"sub_cust_000092_1","cust_000092","pro_annual","Professional Annual","82.5","990","2025-08-10","","active","annual"
"sub_cust_000093_1","cust_000093","pro_annual","Professional Annual","82.5","990","2024-11-13","","active","annual"
"sub_cust_000094_1","cust_000094","basic_annual","Basic Annual","24.166666666666668","290","2024-09-26","","active","annual"
"sub_cust_000095_1","cust_000095","basic","Basic Plan","29","348","2025-03-18","2025-04-17","churned","monthly"
"sub_cust_000096_1","cust_000096","enterprise","Enterprise Plan","299","3588","2023-12-04","","active","monthly"
"sub_cust_000097_1","cust_000097","pro","Professional Plan","99","1188","2022-05-16","","active","monthly"
"sub_cust_000098_1","cust_000098","pro_annual","Professional Annual","82.5","990","2022-09-17","","active","annual"
"sub_cust_000099_1","cust_000099","pro","Professional Plan","99","1188","2024-11-15","","active","monthly"
"sub_cust_000100_1","cust_000100","basic","Basic Plan","29","348","2022-04-02","","active","monthly"
"sub_cust_000101_1","cust_000101","pro_annual","Professional Annual","82.5","990","2023-09-15","","active","annual"
"sub_cust_000102_1","cust_000102","basic","Basic Plan","29","348","2022-07-26","","active","monthly"
"sub_cust_000103_1","cust_000103","enterprise","Enterprise Plan","299","3588","2024-06-08","","active","monthly"
"sub_cust_000104_1","cust_000104","pro","Professional Plan","99","1188","2022-12-21","2024-05-25","churned","monthly"
"sub_cust_000105_1","cust_000105","basic","Basic Plan","29","348","2025-04-01","","active","monthly"
"sub_cust_000106_1","cust_000106","basic","Basic Plan","29","348","2022-10-31","","active","monthly"
"sub_cust_000107_1","cust_000107","enterprise","Enterprise Plan","299","3588","2024-11-18","","active","monthly"
"sub_cust_000108_1","cust_000108","basic","Basic Plan","29","348","2022-06-04","","active","monthly"
"sub_cust_000109_1","cust_000109","pro","Professional Plan","99","1188","2024-07-16","","active","monthly"
"sub_cust_000110_1","cust_000110","enterprise","Enterprise Plan","299","3588","2023-04-15","","active","monthly"
"sub_cust_000111_1","cust_000111","pro","Professional Plan","99","1188","2022-04-18","","active","monthly"
"sub_cust_000112_1","cust_000112","enterprise","Enterprise Plan","299","3588","2022-04-28","2023-02-26","churned","monthly"
"sub_cust_000113_1","cust_000113","enterprise","Enterprise Plan","299","3588","2022-04-27","","active","monthly"
"sub_cust_000114_1","cust_000114","basic","Basic Plan","29","348","2022-07-16","","active","monthly"
"sub_cust_000115_1","cust_000115","basic","Basic Plan","29","348","2025-04-17","","active","monthly"
"sub_cust_000116_1","cust_000116","pro","Professional Plan","99","1188","2022-09-07","","active","monthly"
"sub_cust_000117_1","cust_000117","pro","Professional Plan","99","1188","2023-01-19","","active","monthly"
"sub_cust_000118_1","cust_000118","basic","Basic Plan","29","348","2022-09-16","","active","monthly"
"sub_cust_000119_1","cust_000119","basic","Basic Plan","29","348","2024-09-21","","active","monthly"
"sub_cust_000120_1","cust_000120","basic","Basic Plan","29","348","2023-01-20","","active","monthly"
"sub_cust_000121_1","cust_000121","pro_annual","Professional Annual","82.5","990","2023-05-11","","active","annual"
"sub_cust_000122_1","cust_000122","enterprise","Enterprise Plan","299","3588","2023-03-27","","active","monthly"
"sub_cust_000123_1","cust_000123","enterprise","Enterprise Plan","299","3588","2023-12-23","","active","monthly"
"sub_cust_000124_1","cust_000124","enterprise","Enterprise Plan","299","3588","2022-07-03","","active","monthly"
"sub_cust_000125_1","cust_000125","enterprise","Enterprise Plan","299","3588","2022-01-25","","active","monthly"
"sub_cust_000126_1","cust_000126","basic","Basic Plan","29","348","2024-04-05","","active","monthly"
"sub_cust_000127_1","cust_000127","enterprise","Enterprise Plan","299","3588","2022-01-01","","active","monthly"
"sub_cust_000128_1","cust_000128","pro_annual","Professional Annual","82.5","990","2024-09-26","","active","annual"
"sub_cust_000129_1","cust_000129","pro","Professional Plan","99","1188","2022-01-08","2022-08-24","churned","monthly"
"sub_cust_000130_1","cust_000130","enterprise","Enterprise Plan","299","3588","2022-06-17","","active","monthly"
"sub_cust_000131_1","cust_000131","enterprise","Enterprise Plan","299","3588","2024-12-13","","active","monthly"
"sub_cust_000132_1","cust_000132","basic","Basic Plan","29","348","2023-05-29","","active","monthly"
"sub_cust_000133_1","cust_000133","pro_annual","Professional Annual","82.5","990","2024-10-01","","active","annual"
"sub_cust_000134_1","cust_000134","pro","Professional Plan","99","1188","2023-02-28","","active","monthly"
"sub_cust_000135_1","cust_000135","pro_annual","Professional Annual","82.5","990","2024-12-10","","active","annual"
"sub_cust_000136_1","cust_000136","pro","Professional Plan","99","1188","2024-04-26","","active","monthly"
"sub_cust_000137_1","cust_000137","pro_annual","Professional Annual","82.5","990","2022-03-29","","active","annual"
"sub_cust_000138_1","cust_000138","basic_annual","Basic Annual","24.166666666666668","290","2022-10-08","2023-11-07","churned","annual"
"sub_cust_000139_1","cust_000139","pro_annual","Professional Annual","82.5","990","2022-03-12","","active","annual"
"sub_cust_000140_1","cust_000140","pro_annual","Professional Annual","82.5","990","2022-02-14","","active","annual"
"sub_cust_000141_1","cust_000141","pro_annual","Professional Annual","82.5","990","2023-03-31","","active","annual"
"sub_cust_000142_1","cust_000142","basic_annual","Basic Annual","24.166666666666668","290","2022-02-06","","active","annual"
"sub_cust_000143_1","cust_000143","pro_annual","Professional Annual","82.5","990","2025-05-07","","active","annual"
"sub_cust_000144_1","cust_000144","basic_annual","Basic Annual","24.166666666666668","290","2022-03-16","","active","annual"
"sub_cust_000145_1","cust_000145","enterprise","Enterprise Plan","299","3588","2025-04-01","","active","monthly"
"sub_cust_000146_1","cust_000146","basic","Basic Plan","29","348","2022-11-18","","active","monthly"
"sub_cust_000147_1","cust_000147","pro_annual","Professional Annual","82.5","990","2024-03-21","","active","annual"
"sub_cust_000148_1","cust_000148","pro_annual","Professional Annual","82.5","990","2022-12-24","","active","annual"
"sub_cust_000149_1","cust_000149","pro","Professional Plan","99","1188","2023-09-10","","active","monthly"
"sub_cust_000150_1","cust_000150","basic_annual","Basic Annual","24.166666666666668","290","2024-09-04","","active","annual"
"sub_cust_000151_1","cust_000151","enterprise","Enterprise Plan","299","3588","2025-07-13","2025-07-23","churned","monthly"
"sub_cust_000152_1","cust_000152","enterprise","Enterprise Plan","299","3588","2025-04-01","","active","monthly"
"sub_cust_000153_1","cust_000153","enterprise","Enterprise Plan","299","3588","2022-05-05","","active","monthly"
"sub_cust_000154_1","cust_000154","enterprise","Enterprise Plan","299","3588","2024-09-16","","active","monthly"
"sub_cust_000155_1","cust_000155","basic","Basic Plan","29","348","2025-05-31","","active","monthly"
"sub_cust_000156_1","cust_000156","pro_annual","Professional Annual","82.5","990","2022-09-22","","active","annual"
"sub_cust_000157_1","cust_000157","pro","Professional Plan","99","1188","2024-09-16","2025-03-28","churned","monthly"
"sub_cust_000158_1","cust_000158","pro_annual","Professional Annual","82.5","990","2024-08-03","","active","annual"
"sub_cust_000159_1","cust_000159","pro","Professional Plan","99","1188","2023-08-28","","active","monthly"
"sub_cust_000160_1","cust_000160","basic","Basic Plan","29","348","2022-11-15","","active","monthly"
"sub_cust_000161_1","cust_000161","pro_annual","Professional Annual","82.5","990","2024-05-17","2024-05-19","churned","annual"
"sub_cust_000162_1","cust_000162","pro","Professional Plan","99","1188","2023-10-20","","active","monthly"
"sub_cust_000163_1","cust_000163","basic_annual","Basic Annual","24.166666666666668","290","2023-09-15","2024-09-28","churned","annual"
"sub_cust_000164_1","cust_000164","enterprise","Enterprise Plan","299","3588","2024-12-17","","active","monthly"
"sub_cust_000165_1","cust_000165","basic_annual","Basic Annual","24.166666666666668","290","2023-12-23","","active","annual"
"sub_cust_000166_1","cust_000166","basic_annual","Basic Annual","24.166666666666668","290","2023-01-11","","active","annual"
"sub_cust_000167_1","cust_000167","pro","Professional Plan","99","1188","2024-04-20","","active","monthly"
"sub_cust_000168_1","cust_000168","pro_annual","Professional Annual","82.5","990","2024-04-03","","active","annual"
"sub_cust_000169_1","cust_000169","pro","Professional Plan","99","1188","2023-07-21","2024-08-13","churned","monthly"
"sub_cust_000170_1","cust_000170","pro_annual","Professional Annual","82.5","990","2025-01-04","","active","annual"
"sub_cust_000171_1","cust_000171","basic_annual","Basic Annual","24.166666666666668","290","2023-06-04","2025-05-04","churned","annual"
"sub_cust_000172_1","cust_000172","enterprise","Enterprise Plan","299","3588","2024-03-04","","active","monthly"
"sub_cust_000173_1","cust_000173","basic_annual","Basic Annual","24.166666666666668","290","2024-10-09","","active","annual"
"sub_cust_000174_1","cust_000174","pro_annual","Professional Annual","82.5","990","2024-06-18","2025-06-27","churned","annual"
"sub_cust_000175_1","cust_000175","basic","Basic Plan","29","348","2022-07-10","2024-04-30","churned","monthly"
"sub_cust_000176_1","cust_000176","pro_annual","Professional Annual","82.5","990","2024-06-25","","active","annual"
"sub_cust_000177_1","cust_000177","pro_annual","Professional Annual","82.5","990","2025-08-11","","active","annual"
"sub_cust_000178_1","cust_000178","basic","Basic Plan","29","348","2022-12-07","","active","monthly"
"sub_cust_000179_1","cust_000179","basic_annual","Basic Annual","24.166666666666668","290","2023-04-01","2025-02-04","churned","annual"
"sub_cust_000180_1","cust_000180","enterprise","Enterprise Plan","299","3588","2023-01-11","","active","monthly"
"sub_cust_000181_1","cust_000181","basic_annual","Basic Annual","24.166666666666668","290","2023-07-04","","active","annual"
"sub_cust_000182_1","cust_000182","enterprise","Enterprise Plan","299","3588","2025-04-24","","active","monthly"
"sub_cust_000183_1","cust_000183","pro","Professional Plan","99","1188","2023-12-19","2024-05-24","churned","monthly"
"sub_cust_000184_1","cust_000184","enterprise","Enterprise Plan","299","3588","2023-03-03","","active","monthly"
"sub_cust_000185_1","cust_000185","pro","Professional Plan","99","1188","2025-05-23","","active","monthly"
"sub_cust_000186_1","cust_000186","enterprise","Enterprise Plan","299","3588","2025-05-12","","active","monthly"
"sub_cust_000187_1","cust_000187","basic_annual","Basic Annual","24.166666666666668","290","2023-12-03","","active","annual"
"sub_cust_000188_1","cust_000188","basic_annual","Basic Annual","24.166666666666668","290","2025-01-08","","active","annual"
"sub_cust_000189_1","cust_000189","pro","Professional Plan","99","1188","2022-10-02","","active","monthly"
"sub_cust_000190_1","cust_000190","enterprise","Enterprise Plan","299","3588","2024-01-02","","active","monthly"
"sub_cust_000191_1","cust_000191","enterprise","Enterprise Plan","299","3588","2024-10-30","","active","monthly"
"sub_cust_000192_1","cust_000192","basic_annual","Basic Annual","24.166666666666668","290","2024-06-14","","active","annual"
"sub_cust_000193_1","cust_000193","basic_annual","Basic Annual","24.166666666666668","290","2024-03-03","","active","annual"
"sub_cust_000194_1","cust_000194","pro","Professional Plan","99","1188","2025-01-16","","active","monthly"
"sub_cust_000195_1","cust_000195","pro","Professional Plan","99","1188","2025-06-10","2025-07-05","churned","monthly"
"sub_cust_000196_1","cust_000196","basic_annual","Basic Annual","24.166666666666668","290","2023-09-06","","active","annual"
"sub_cust_000197_1","cust_000197","enterprise","Enterprise Plan","299","3588","2024-06-22","","active","monthly"
"sub_cust_000198_1","cust_000198","enterprise","Enterprise Plan","299","3588","2023-12-28","","active","monthly"
"sub_cust_000199_1","cust_000199","basic","Basic Plan","29","348","2025-06-18","","active","monthly"
"sub_cust_000200_1","cust_000200","pro","Professional Plan","99","1188","2023-07-19","","active","monthly"
"sub_cust_000201_1","cust_000201","pro_annual","Professional Annual","82.5","990","2024-10-30","","active","annual"
"sub_cust_000202_1","cust_000202","pro_annual","Professional Annual","82.5","990","2024-08-24","","active","annual"
"sub_cust_000203_1","cust_000203","basic","Basic Plan","29","348","2023-08-17","","active","monthly"
"sub_cust_000204_1","cust_000204","pro","Professional Plan","99","1188","2024-10-07","2024-10-14","churned","monthly"
"sub_cust_000205_1","cust_000205","basic","Basic Plan","29","348","2023-07-30","","active","monthly"
"sub_cust_000206_1","cust_000206","enterprise","Enterprise Plan","299","3588","2023-02-08","2023-02-19","churned","monthly"
"sub_cust_000207_1","cust_000207","enterprise","Enterprise Plan","299","3588","2022-03-29","","active","monthly"
"sub_cust_000208_1","cust_000208","enterprise","Enterprise Plan","299","3588","2024-01-10","","active","monthly"
"sub_cust_000209_1","cust_000209","pro","Professional Plan","99","1188","2023-08-11","","active","monthly"
"sub_cust_000210_1","cust_000210","pro","Professional Plan","99","1188","2022-12-27","","active","monthly"
"sub_cust_000211_1","cust_000211","enterprise","Enterprise Plan","299","3588","2022-03-10","","active","monthly"
"sub_cust_000212_1","cust_000212","basic_annual","Basic Annual","24.166666666666668","290","2024-06-20","","active","annual"
"sub_cust_000213_1","cust_000213","enterprise","Enterprise Plan","299","3588","2022-05-10","","active","monthly"
"sub_cust_000214_1","cust_000214","pro","Professional Plan","99","1188","2023-02-09","","active","monthly"
"sub_cust_000215_1","cust_000215","enterprise","Enterprise Plan","299","3588","2023-05-11","2023-09-22","churned","monthly"
"sub_cust_000216_1","cust_000216","pro_annual","Professional Annual","82.5","990","2022-05-12","","active","annual"
"sub_cust_000217_1","cust_000217","pro_annual","Professional Annual","82.5","990","2022-10-19","2023-05-12","churned","annual"
"sub_cust_000218_1","cust_000218","enterprise","Enterprise Plan","299","3588","2023-03-09","2024-02-29","churned","monthly"
"sub_cust_000219_1","cust_000219","pro_annual","Professional Annual","82.5","990","2024-04-29","2024-08-17","churned","annual"
"sub_cust_000220_1","cust_000220","enterprise","Enterprise Plan","299","3588","2024-07-19","","active","monthly"
"sub_cust_000221_1","cust_000221","basic","Basic Plan","29","348","2023-02-21","2024-09-14","churned","monthly"
"sub_cust_000222_1","cust_000222","basic_annual","Basic Annual","24.166666666666668","290","2024-04-15","","active","annual"
"sub_cust_000223_1","cust_000223","enterprise","Enterprise Plan","299","3588","2022-01-03","2023-10-27","churned","monthly"
"sub_cust_000224_1","cust_000224","pro_annual","Professional Annual","82.5","990","2025-06-30","2025-08-14","churned","annual"
"sub_cust_000225_1","cust_000225","pro_annual","Professional Annual","82.5","990","2022-10-18","","active","annual"
"sub_cust_000226_1","cust_000226","basic_annual","Basic Annual","24.166666666666668","290","2025-02-15","","active","annual"
"sub_cust_000227_1","cust_000227","pro_annual","Professional Annual","82.5","990","2024-12-11","","active","annual"
"sub_cust_000228_1","cust_000228","enterprise","Enterprise Plan","299","3588","2022-01-10","","active","monthly"
"sub_cust_000229_1","cust_000229","basic","Basic Plan","29","348","2025-03-02","","active","monthly"
"sub_cust_000230_1","cust_000230","basic","Basic Plan","29","348","2025-03-08","","active","monthly"
"sub_cust_000231_1","cust_000231","pro_annual","Professional Annual","82.5","990","2022-02-06","2025-07-29","churned","annual"
"sub_cust_000232_1","cust_000232","enterprise","Enterprise Plan","299","3588","2023-03-06","","active","monthly"
"sub_cust_000233_1","cust_000233","basic_annual","Basic Annual","24.166666666666668","290","2024-10-29","","active","annual"
"sub_cust_000234_1","cust_000234","basic","Basic Plan","29","348","2022-05-15","","active","monthly"
"sub_cust_000235_1","cust_000235","pro_annual","Professional Annual","82.5","990","2024-08-17","","active","annual"
"sub_cust_000236_1","cust_000236","basic","Basic Plan","29","348","2024-04-19","","active","monthly"
"sub_cust_000237_1","cust_000237","basic_annual","Basic Annual","24.166666666666668","290","2024-11-20","","active","annual"
"sub_cust_000238_1","cust_000238","pro_annual","Professional Annual","82.5","990","2023-11-24","2024-10-13","churned","annual"
"sub_cust_000239_1","cust_000239","enterprise","Enterprise Plan","299","3588","2022-10-01","","active","monthly"
"sub_cust_000240_1","cust_000240","enterprise","Enterprise Plan","299","3588","2023-04-11","","active","monthly"
"sub_cust_000241_1","cust_000241","basic_annual","Basic Annual","24.166666666666668","290","2023-06-15","","active","annual"
"sub_cust_000242_1","cust_000242","enterprise","Enterprise Plan","299","3588","2022-12-06","","active","monthly"
"sub_cust_000243_1","cust_000243","basic","Basic Plan","29","348","2024-09-21","2025-08-02","churned","monthly"
"sub_cust_000244_1","cust_000244","basic_annual","Basic Annual","24.166666666666668","290","2024-09-15","","active","annual"
"sub_cust_000245_1","cust_000245","enterprise","Enterprise Plan","299","3588","2023-12-09","","active","monthly"
"sub_cust_000246_1","cust_000246","pro_annual","Professional Annual","82.5","990","2024-12-09","2025-04-09","churned","annual"
"sub_cust_000247_1","cust_000247","pro_annual","Professional Annual","82.5","990","2025-03-23","","active","annual"
"sub_cust_000248_1","cust_000248","basic","Basic Plan","29","348","2023-07-27","2024-09-27","churned","monthly"
"sub_cust_000249_1","cust_000249","basic_annual","Basic Annual","24.166666666666668","290","2025-02-21","","active","annual"
"sub_cust_000250_1","cust_000250","basic","Basic Plan","29","348","2022-02-13","","active","monthly"
"sub_cust_000251_1","cust_000251","pro_annual","Professional Annual","82.5","990","2022-04-21","","active","annual"
"sub_cust_000252_1","cust_000252","basic","Basic Plan","29","348","2022-04-04","2025-04-05","churned","monthly"
"sub_cust_000253_1","cust_000253","basic_annual","Basic Annual","24.166666666666668","290","2022-02-03","2024-09-07","churned","annual"
"sub_cust_000254_1","cust_000254","basic_annual","Basic Annual","24.166666666666668","290","2023-11-17","","active","annual"
"sub_cust_000255_1","cust_000255","basic","Basic Plan","29","348","2023-04-08","","active","monthly"
"sub_cust_000256_1","cust_000256","basic","Basic Plan","29","348","2025-08-04","2025-08-10","churned","monthly"
"sub_cust_000257_1","cust_000257","pro_annual","Professional Annual","82.5","990","2022-06-06","","active","annual"
"sub_cust_000258_1","cust_000258","basic_annual","Basic Annual","24.166666666666668","290","2024-12-31","","active","annual"
"sub_cust_000259_1","cust_000259","enterprise","Enterprise Plan","299","3588","2025-08-13","","active","monthly"
"sub_cust_000260_1","cust_000260","basic","Basic Plan","29","348","2022-12-22","","active","monthly"
"sub_cust_000261_1","cust_000261","pro","Professional Plan","99","1188","2022-02-22","","active","monthly"
"sub_cust_000262_1","cust_000262","basic","Basic Plan","29","348","2023-03-27","","active","monthly"
"sub_cust_000263_1","cust_000263","pro_annual","Professional Annual","82.5","990","2024-12-18","2025-08-02","churned","annual"
"sub_cust_000264_1","cust_000264","pro_annual","Professional Annual","82.5","990","2024-07-30","","active","annual"
"sub_cust_000265_1","cust_000265","pro","Professional Plan","99","1188","2024-06-25","","active","monthly"
"sub_cust_000266_1","cust_000266","pro","Professional Plan","99","1188","2022-04-09","","active","monthly"
"sub_cust_000267_1","cust_000267","pro_annual","Professional Annual","82.5","990","2024-08-05","","active","annual"
